gene	module
C15orf48	blue
CCNDBP1	turquoise
SMAD3	grey
MS4A8	turquoise
MAP1A	turquoise
MAPRE2	paleturquoise
EVA1C	turquoise
MARS	brown
NUDT21	mediumpurple3
MEI1	black
FAM102A	turquoise
ACSF2	turquoise
URM1	tan
C15orf39	cyan
SP2	orange
COQ7	turquoise
KATNAL2	turquoise
DPEP2	cyan
DUS2	blue
POP5	turquoise
ACAA2	brown
STIM1	brown
RRM1	skyblue
TRIM68	brown
ZNF226	turquoise
TPM4	blue
FAM129C	blue
MVD	grey
TRAPPC2L	violet
KMT2D	brown
TUBA1A	turquoise
NCKAP5L	turquoise
AXL	blue
NFKBID	blue
CHAF1A	brown
SEMA6B	blue
ZNF444	lightcyan
NXN	turquoise
GLOD4	brown
SLC43A2	blue
RILP	brown
WDR81	black
TRPV3	lightyellow
CYB5D2	black
OTUB1	turquoise
IGFBP6	yellow
CDK2AP2	blue
MIS12	brown
TEKT1	turquoise
SRP68	darkgrey
TMC8	black
TMEM68	turquoise
NLRC3	green
VPS37C	cyan
SLC3A2	yellow
ATG16L2	brown
TRANK1	turquoise
TTC21A	turquoise
ULK4	turquoise
RAB4A	yellow
RBPJ	blue
GNG4	steelblue
COA6	cyan
PDHB	grey60
HIST1H1E	green
IRF2	turquoise
TAP1	grey60
ATG4B	black
MLKL	blue
CMAHP	red
RFWD3	turquoise
RHOH	green
CDC40	blue
SCNN1B	magenta
RAB31	blue
ATXN2L	turquoise
CAVIN2	pink
MTCL1	midnightblue
CDKN2AIP	black
DYNLRB2	turquoise
FAM84B	pink
LDLRAD4	turquoise
SLC16A4	brown
IL7R	green
DNAJC21	brown
PKIG	turquoise
TET2	blue
TCTN2	turquoise
TSPAN5	green
ZBTB5	black
ZNF507	black
GFM1	brown
TPTE2P5	skyblue
INPP5D	blue
CEP120	royalblue
STXBP6	yellow
MFF	brown
PXDC1	pink
FEM1B	salmon
UQCRFS1	lightyellow
MAP2K1	blue
MECP2	green
UPF3A	turquoise
ZBBX	turquoise
AR	lightsteelblue1
HSPBAP1	brown
ASMTL	turquoise
CSNK1G1	cyan
ZNF354A	brown
PCSK9	grey
XPO6	darkgrey
NSMCE1	turquoise
CCDC126	plum1
CD2BP2	blue
TBC1D10B	turquoise
CA5B	lightgreen
EFNA1	magenta
NMD3	turquoise
KCNAB1	royalblue
SHE	white
PGM2	plum1
IL1RAPL1	turquoise
SLC33A1	purple
CRADD	grey
PTPN9	plum1
RNASE6	blue
CXCL8	blue
RASSF6	turquoise
COL22A1	magenta
CD52	brown
MMGT1	turquoise
TM2D2	blue
PLEKHA2	blue
GPR183	blue
ZEB2	blue
NFU1	cyan
LUZP1	blue
CENPX	blue
ASPSCR1	turquoise
DCXR	grey
LDB2	purple
BTD	brown
CSGALNACT2	blue
PCDH7	turquoise
AVEN	blue
REPS2	turquoise
SYAP1	blue
ITGAM	blue
TOR1AIP2	saddlebrown
BRD3	darkolivegreen
MAP3K2	blue
IFFO2	turquoise
TMEM154	turquoise
YWHAG	yellow
CNTROB	midnightblue
SIMC1	grey
ENSG00000170089	magenta
SIK2	blue
CHRNB1	plum1
SLC16A5	turquoise
FABP6	turquoise
PWWP2A	red
ELP5	purple
NFRKB	grey
FABP4	brown
FRMPD2	turquoise
B3GNT2	blue
ZNF804A	blue
TMEM182	brown
ADORA2B	turquoise
MGMT	turquoise
KRT86	turquoise
HARS	green
NFXL1	turquoise
DNAJC18	ivory
PYM1	skyblue
LONRF2	yellow
NUDT9	turquoise
PA2G4	blue
ELOVL6	royalblue
PFKFB3	blue
SERPINB9	blue
EMB	cyan
DLGAP1	greenyellow
STAT2	violet
SGCD	tan
KIF5B	darkturquoise
PPM1D	purple
RIOX2	grey
KIAA0232	turquoise
MTSS1	blue
RNF139	turquoise
MSANTD4	yellow
OSCAR	brown
PKHD1	greenyellow
DCDC1	turquoise
PDGFD	lightgreen
XKR6	turquoise
TSNARE1	sienna3
FPR2	blue
TRMT61B	darkred
GIMAP8	blue
FUT3	turquoise
JAGN1	brown
SOCS5	blue
TMEM126A	brown
NETO2	blue
CANT1	yellowgreen
EXOSC1	yellow
KRT15	turquoise
NAT1	turquoise
POLR1C	turquoise
ZNF562	blue
ZNF318	blue
ZNF561	turquoise
PPID	turquoise
ETFDH	turquoise
LPAR3	turquoise
FGG	grey
PLRG1	sienna3
DNAI2	turquoise
CLSTN1	turquoise
ZNF274	lightgreen
PIK3CD	saddlebrown
SPSB1	turquoise
HDAC3	paleturquoise
BCL2	green
CTPS1	grey
CFAP46	turquoise
ZNF540	sienna3
EXOSC10	grey
NINJ2	blue
C3AR1	blue
PRNP	blue
ATPAF2	steelblue
DRC3	turquoise
SYNPO	grey
KLF11	blue
MOB3A	grey60
KRCC1	turquoise
ISG20	turquoise
TPSAB1	midnightblue
ZNF131	turquoise
MACROD2	red
HINFP	lightcyan
CLEC12A	blue
ALG14	blue
IL16	turquoise
CFAP53	turquoise
RSPH9	turquoise
COPS9	blue
ZNF24	blue
BANP	blue
PPP1CA	blue
SNTG2	blue
RASGRP1	brown
KLHL6	brown
CHCHD1	blue
SMPDL3A	grey
RND1	grey
ZFAND4	turquoise
THEMIS	green
FUT10	lightyellow
LRRC20	darkmagenta
TMEM217	orangered4
ZNF621	turquoise
NADSYN1	turquoise
DHCR7	turquoise
RNASEH2C	grey
ANKRD13D	blue
OXSR1	blue
MIR4435-2HG	blue
KAT5	darkgreen
TADA2B	blue
RELA	plum1
EVC2	blue
ZNF680	darkgrey
PARP14	black
CYSLTR1	blue
PARP15	brown
CKS1B	grey
AHSA2	blue
MZT2A	darkmagenta
PPP1R3B	greenyellow
C1QA	blue
OLR1	blue
ARV1	yellow
SAA1	turquoise
EHBP1L1	blue
THAP2	blue
SSSCA1	brown
TNFRSF10D	blue
ZNF622	brown
NABP1	blue
ADGRF3	darkolivegreen
PC	violet
CXorf23	turquoise
ADGRG2	darkolivegreen
C11orf80	plum1
AGFG1	blue
MARCH10	turquoise
PLK3	green
NET1	turquoise
ZNF791	tan
PHC3	turquoise
MARCH3	blue
RBM4	blue
XXYLT1	grey60
CEP19	darkolivegreen
FAM3C2	turquoise
TLR1	blue
RGMB	grey
PIGG	blue
DDX23	blue
RALGAPA1	green
ZWILCH	blue
SNAPC5	blue
C12orf76	grey
DENND4A	green
ANKRD36C	turquoise
SLC26A9	red
MFSD4A	turquoise
AKIRIN1	turquoise
CMKLR1	orange
ANGEL2	orange
SLCO2A1	purple
TMEM167A	cyan
KIAA1551	blue
LARP7	brown
BRMS1	blue
WDR49	turquoise
THAP6	blue
CEP135	blue
ADGRE1	blue
PDE12	blue
GLMN	paleturquoise
DNAH12	turquoise
PTDSS2	turquoise
C19orf70	blue
KCTD13	darkred
ZDHHC14	lightgreen
ATR	turquoise
PACS1	turquoise
YPEL2	grey
ABO	turquoise
CSRP2	turquoise
DCTN2	brown
CTDSP2	paleturquoise
ARHGAP1	magenta
VWA3A	turquoise
PHYKPL	turquoise
GRAMD2	pink
EIF1AD	turquoise
CLTB	grey
SART1	grey60
MCTP1	blue
UCP2	blue
FOSL1	blue
TOM1L2	pink
B3GNTL1	lightcyan
AURKAIP1	orange
ZNF169	grey
RUVBL1	turquoise
SWI5	orangered4
PLEKHF2	blue
A2M	yellow
DENND2C	turquoise
LYSMD3	skyblue3
JAKMIP2	darkgreen
SLC35A4	blue
YES1	midnightblue
TMEM39A	blue
CCDC57	turquoise
ATAD5	midnightblue
SMIM19	turquoise
CDC26	blue
RNPEP	skyblue3
SYNE3	darkorange
RMDN1	skyblue
ACSF3	brown
TTTY14	turquoise
NCKAP5	pink
BASP1	blue
LRRC37A3	tan
METRNL	blue
WSB2	darkturquoise
EFCAB5	brown
SHMT1	brown
SEC24C	brown
MTX3	grey
ZDHHC13	turquoise
ACER2	lightsteelblue1
POLE	brown
ANO6	blue
FAM210A	blue
ULK1	turquoise
TOP3A	turquoise
ZBTB38	purple
MAGEF1	orange
SAMD9L	blue
PAWR	red
NIM1K	sienna3
CAVIN1	yellow
CD163	blue
IL17RA	blue
AGTRAP	turquoise
CD163L1	blue
CRACR2B	turquoise
FAM20C	blue
NECTIN3	blue
CHID1	brown
CACYBPP2	darkolivegreen
AP3S1	yellow
ZBTB41	turquoise
UBE2N	blue
ARL6IP6	turquoise
BET1L	brown
IMP3	turquoise
ADAMTSL1	yellow
MLF1	turquoise
NDUFAF3	turquoise
GRAMD1C	turquoise
BOLA1	turquoise
DDX10	turquoise
SH2B1	turquoise
TMEM11	turquoise
ZFAND2A	blue
CD28	turquoise
EPM2AIP1	grey
MAF	blue
GTPBP6	cyan
CSRNP3	tan
NSUN3	turquoise
GRINA	blue
THBD	blue
COX5A	steelblue
FAM219B	lightcyan
ZHX2	blue
ADORA2A-AS1	steelblue
APOLD1	lightyellow
ZNF852	grey
PFAS	lightcyan
ZNF552	turquoise
GAK	mediumpurple3
ZBTB7A	blue
ERICH3	turquoise
CTC1	black
SNX18	blue
C3orf38	turquoise
TMEM107	turquoise
C12orf42	magenta
FARSA	salmon
SAMD4B	turquoise
GIMAP7	green
EDC3	blue
CLK3	brown
GATA2	midnightblue
ARID3B	midnightblue
PACS2	black
ELMOD2	brown
CATSPERE	lightsteelblue1
GPC5	pink
ZBTB18	turquoise
CIITA	blue
CDC42EP4	turquoise
ABCA13	turquoise
C1orf194	turquoise
R3HDM2	turquoise
SEPHS2	blue
C14orf119	turquoise
PUF60	brown
TSHZ1	grey60
ZADH2	blue
TMEM150B	orange
RCC1	darkgrey
PRKRA	brown
ZNRF2	blue
CCDC43	greenyellow
MTURN	pink
CCDC66	turquoise
ARHGAP45	blue
ZNF571	salmon
KCNE1	blue
NRIP1	blue
HIST1H2AC	grey
ENSG00000180574	cyan
MB21D2	blue
PCGF5	plum1
PRF1	lightgreen
SLC36A4	blue
MAP3K15	greenyellow
PPA1	red
CAPS2	turquoise
D2HGDH	paleturquoise
CMTR2	salmon
GPR137C	blue
NQO1	pink
FKRP	turquoise
SLC26A11	green
EHMT1	lightcyan1
MUC16	turquoise
POLR2A	darkolivegreen
NME9	turquoise
TMEM45A	yellow
RNF135	cyan
TNFSF15	grey
HKR1	turquoise
PLAG1	black
YIPF6	black
C3orf58	blue
SIAH2	tan
LSM10	blue
C5orf24	turquoise
COA4	brown
PRKAG1	paleturquoise
CCDC149	grey
RTKN2	pink
CHST15	blue
IDH2	turquoise
FAM89A	brown
KCNIP1	darkred
ZNF708	turquoise
IST1	brown
P2RY8	white
TSEN54	royalblue
SHMT2	saddlebrown
MOB2	grey60
BACE2	midnightblue
AP1S2	blue
C1S	yellow
KIAA2012	turquoise
CRIP1P4	brown
TRAPPC6B	turquoise
TSHZ2	turquoise
EXOC7	blue
KPNA2	yellow
CEP97	turquoise
FAM104B	turquoise
LIMK2	turquoise
TRAK1	turquoise
PLCB1	blue
LINC01006	skyblue3
NTM	darkred
RGS6	turquoise
CRIP2	black
C16orf72	blue
COL18A1	turquoise
ZNF721	darkorange
CADM1	red
MCEMP1	blue
SLC8A1	blue
ABAT	turquoise
CAMK1D	blue
WBP2NL	grey60
NEB	turquoise
CEP57L1	orange
RUVBL2	turquoise
CCDC60	turquoise
DAZAP2	salmon
CCBE1	lightcyan
ENSG00000183308	red
JRKL	royalblue
RIPK4	floralwhite
GPR132	blue
MX2	blue
EP400	turquoise
UTP11	brown
PCBP3	brown
TANGO2	turquoise
ZNF438	blue
C11orf88	turquoise
EFHC2	turquoise
UPP1	blue
TMEM50A	paleturquoise
CBX6	tan
KCTD16	brown
RBM12B	turquoise
MAATS1	turquoise
FAM3B	grey
KIRREL	tan
PRKX	green
KMT5A	grey
KCNH8	black
ST6GALNAC3	purple
PTP4A2	blue
DENND5A	blue
CLDN5	purple
NIPSNAP1	floralwhite
CRELD2	darkgreen
SCFD2	tan
PPP1R2	brown
TSPYL2	green
C22orf46	yellow
SNRNP35	turquoise
CMSS1	blue
HIST2H2AC	grey60
TM2D3	grey
SLIT3	yellow
EFNA5	red
CSF1	darkolivegreen
PLA2G6	tan
SS18L1	turquoise
KNTC1	yellowgreen
NCMAP	turquoise
WDR27	turquoise
TXNRD2	turquoise
TMEM255B	purple
TMEM173	blue
PDE4B	blue
NELL2	turquoise
APOBR	blue
UBE2G2	darkmagenta
SUMO3	blue
PTRHD1	blue
ZFP90	turquoise
FAM227A	turquoise
CHRM5	turquoise
SIVA1	brown
MAFF	blue
CIB1	turquoise
NELFA	lightcyan
SLC24A3	midnightblue
HSF1	blue
LRRC37B	lightgreen
NOMO2	sienna3
ZNF445	violet
PRPF39	lightcyan1
KIAA0825	turquoise
ZBTB37	yellow
IL3RA	blue
SFTPA2	red
ATP6V0A2	turquoise
HGS	yellowgreen
SP140L	black
TARSL2	turquoise
TMEM179B	greenyellow
GPRIN3	brown
ENSG00000185495	brown
BRCC3	turquoise
LSAMP	brown
PCGF3	turquoise
LMLN	turquoise
MYBL1	salmon
C16orf52	turquoise
ADARB2	turquoise
CXorf38	lightgreen
IKZF1	blue
PCYT2	blue
ARL17A	black
CCDC190	turquoise
TRIM69	yellowgreen
C16orf54	turquoise
RNPC3	turquoise
ZNF267	blue
IRS2	blue
TMLHE	salmon
RASA3	blue
LRCH3	turquoise
ZNF566	brown
AIDA	darkturquoise
CD300LF	yellow
AGBL4	turquoise
ANKRD46	lightcyan1
C2orf76	darkred
POLR3C	turquoise
CYP4Z1	turquoise
CIDECP	salmon
MARC1	grey
KLHL32	turquoise
TOR3A	paleturquoise
PPP1CC	blue
CA5BP1	lightcyan
PRELID2	tan
BACE1	blue
RXRA	blue
ANKRD37	turquoise
ZNF75D	tan
CYP4X1	turquoise
CD300E	blue
FCAR	blue
GNG2	green
BTN3A2	brown
ARHGAP30	green
SMYD4	darkturquoise
CEACAM19	floralwhite
MIR22HG	blue
KIF24	turquoise
PDE2A	blue
BCDIN3D	turquoise
CFAP73	turquoise
ZSCAN30	blue
TRABD2A	lightcyan
ZNF395	blue
TMEM232	turquoise
FAM183A	turquoise
EFCAB6	turquoise
ENTPD5	red
LILRA5	blue
CMC1	grey60
GCNT1	steelblue
FNBP1	blue
RSBN1L	magenta
COL4A1	purple
PLEKHG7	turquoise
HSPA14	blue
MAGEH1	tan
ISG15	blue
EXD3	turquoise
RGPD1	steelblue
DHRS4L2	darkgreen
SECISBP2	pink
SEMA4D	green
DNAH17	turquoise
TMEM220	turquoise
C1orf168	turquoise
ARHGAP11B	blue
COL14A1	turquoise
MORN2	turquoise
ZNF490	blue
ARL4C	blue
GPR89B	turquoise
COL4A5	turquoise
NHS	turquoise
PLSCR1	blue
ZP3	darkmagenta
SELL	black
CHM	brown
C19orf54	turquoise
C22orf34	mediumpurple3
CFAP77	turquoise
HBA2	brown
CFAP54	turquoise
SUMO2	grey
S100A16	turquoise
SAXO2	turquoise
UROS	blue
SMIM15	brown
TMEM120B	tan
NHLRC3	lightcyan
SNTN	turquoise
ZDHHC11	turquoise
ASTL	blue
TRMT2B	turquoise
NELFB	darkorange
ADAT2	lightcyan1
ALKBH2	magenta
RNFT1	blue
APOD	yellow
TMEM120A	turquoise
ZNF573	steelblue
JPT1	skyblue3
ZNF600	tan
PAX8-AS1	turquoise
RRP7A	black
KAZN	turquoise
SLC35E2B	darkgrey
TOGARAM2	turquoise
SYCP2	darkred
PTPRT	turquoise
PAX5	black
TDRD7	grey60
HLA-DRB1	blue
SPATS2L	turquoise
WDSUB1	mediumpurple3
FAT4	pink
SEMA4A	midnightblue
SIRPB2	blue
ZNF766	turquoise
SRGAP3	turquoise
ZNF565	turquoise
LONP1	grey
ZNF140	orange
EVL	magenta
ZNF765	brown
ZNF124	brown
ARMCX4	darkred
TRAPPC2	turquoise
C20orf96	turquoise
ESRRG	turquoise
GDAP2	darkmagenta
TCEAL3	darkgreen
ANAPC7	brown
AFAP1	turquoise
MAN2A2	blue
SULF2	blue
HBG2	blue
LAMA2	yellow
HDAC2	violet
ZNF846	blue
ADH1B	yellow
TCF4	purple
HRH1	yellow
ZNF136	skyblue
TRAPPC4	yellowgreen
HSH2D	salmon
S100A2	turquoise
ARID5A	green
CBWD3	brown
LAMB3	grey
KPNA5	turquoise
PDLIM7	turquoise
FAM3C	orange
SLC39A10	brown
WDR45	greenyellow
METTL9	royalblue
ZNF138	turquoise
SERTAD1	darkolivegreen
ZNF100	yellow
ANXA6	turquoise
GMFB	brown
ZNF420	blue
DTHD1	turquoise
PGAP1	turquoise
SRC	blue
ZNF257	brown
NEK5	turquoise
MIRLET7BHG	blue
ENTPD4	red
TBC1D9B	skyblue3
TPSB2	midnightblue
ZNF165	saddlebrown
ZNF720	grey
PELI1	blue
ZNF675	darkolivegreen
ADARB1	blue
HNRNPAB	blue
FAM177B	blue
SIPA1L1	blue
TOPORS	royalblue
ENTPD6	blue
MFAP5	yellow
CXorf40A	blue
CDC42SE1	green
MPEG1	blue
SERPINB2	blue
PARVA	pink
RPE	plum1
ZNF460	black
CR1L	greenyellow
PHF2	darkturquoise
S100A10	brown
CFAP43	turquoise
CFD	yellow
KLHDC1	turquoise
ZNF81	turquoise
TAF13	blue
FAM118B	turquoise
ZNF461	turquoise
C4orf22	turquoise
FAM212B	blue
ZNF44	turquoise
MYO1C	blue
NKIRAS1	brown
SPG7	turquoise
ZNF677	turquoise
ERO1A	blue
ZNF121	darkgrey
MBP	blue
AKAP17A	brown
C1orf122	blue
SNHG12	greenyellow
NOL8	brown
IRAK4	white
ZNF335	tan
ZNF273	turquoise
ZNF84	brown
MARCH5	brown
CD2AP	grey
ZNF248	turquoise
ENSG00000198106	blue
CHSY3	pink
ZNF770	blue
HMGN5	salmon
SVIP	turquoise
HSD17B11	blue
SZT2	brown
QRICH1	blue
CSF2RA	blue
FKBP1C	green
STYX	green
TMEM116	turquoise
CARD11	green
PIM3	blue
ZNF26	darkolivegreen
ZNF480	brown
ZNF587	turquoise
SH3BGRL2	turquoise
MAFK	blue
C1orf228	turquoise
ZNF43	darkgrey
ZNF28	greenyellow
SH2D1B	lightgreen
C3orf35	grey
COPS8	blue
CCDC69	turquoise
KLHL9	brown
PAPSS2	blue
CTR9	grey
ZNF652	grey
RASSF9	skyblue3
FAM169A	salmon
ZNF830	blue
CNOT7	blue
TMEM184B	turquoise
ZNF521	yellow
GK	blue
FOXJ3	grey
SFT2D1	mediumpurple3
CD247	green
SELENOM	grey
DENND4B	brown
RUSC2	brown
OSTC	brown
R3HDM4	turquoise
LTN1	sienna3
RUNDC1	turquoise
GRK5	purple
SFMBT2	blue
CAPZA2	brown
PRC1	yellowgreen
DZIP3	turquoise
KIAA0753	turquoise
CCDC167	turquoise
L3MBTL3	brown
SMG5	turquoise
KIF1BP	blue
TGM2	brown
LINC01285	salmon
COX20	black
CR1	blue
SAMD5	red
ENSG00000203739	grey60
FCGR3A	brown
CCDC162P	turquoise
ADAMTSL4-AS1	blue
HIST2H2BF	turquoise
SNHG5	grey
CHIAP2	steelblue
PCMTD2	violet
LDLRAD1	turquoise
MAFB	blue
CHIC1	red
TIMM23B	brown
C10orf128	yellowgreen
BMS1P1	orange
TMEM57	salmon
ZDBF2	brown
DAXX	skyblue
COL5A2	lightsteelblue1
PSMB8	ivory
AGER	pink
RNF5	brown
STK19	turquoise
NELFE	blue
SLC44A4	turquoise
HSPA1A	blue
FAM155A	red
PRRC2A	brown
AIF1	blue
DHX16	blue
LILRB3	blue
DDR1	turquoise
GNL1	turquoise
HLA-E	brown
PPP1R11	violet
TBC1D8	turquoise
GABBR1	black
TTC25	turquoise
DCTN1	blue
SPIRE2	tan
PKHD1L1	turquoise
SLFN12L	green
C4orf47	turquoise
TRIQK	turquoise
ZBTB10	turquoise
LGR4	turquoise
VIT	yellow
PDE7A	green
TMEM170B	blue
SNX2	brown
TECPR1	darkturquoise
SAMD9	blue
ATP6AP1L	mediumpurple3
CCDC85C	darkred
DPF3	brown
ETFRF1	blue
ENSG00000205740	pink
CRLF2	blue
CLEC6A	greenyellow
C1RL-AS1	turquoise
ZNF316	blue
DNAJC19	turquoise
JPT2	turquoise
ZDHHC11B	turquoise
GYG2P1	turquoise
HBA1	brown
HCP5	blue
RAB12	turquoise
CFAP44	turquoise
ANKRD28	midnightblue
METTL6	turquoise
GPX3	yellow
STK38L	blue
TSN	lightyellow
SLC48A1	grey
ENSG00000211751	brown
TRBC2	magenta
ST13P5	darkturquoise
CFAP45	turquoise
ACKR1	turquoise
ZNF254	salmon
CRIP1	brown
KLHL23	turquoise
SUPT4H1	brown
NRAS	brown
CHUK	yellowgreen
DNAJC9	plum1
LBH	turquoise
ATF6B	royalblue
DDAH2	yellow
CENPBD1P1	turquoise
ZNF845	blue
ENSG00000213846	blue
EMP2	pink
ITGA1	purple
TAX1BP3	turquoise
GANC	red
ZNF891	floralwhite
ENSG00000214135	turquoise
AMZ2P1	lightgreen
C19orf38	sienna3
FIS1	blue
ENSG00000214331	purple
EML6	turquoise
ZSWIM8	grey
ENSG00000214719	orange
SEPT7P2	turquoise
MS4A4E	blue
LINC01588	brown
COL28A1	turquoise
GRID2IP	turquoise
ANKRD20A11P	midnightblue
TMEM242	violet
ARHGAP27P1-BPTFP1-KPNA2P3	brown
LY86-AS1	cyan
LINC01644	yellowgreen
LINC01881	blue
PPP3CB-AS1	lightcyan
PLXNA4	lightsteelblue1
XKR9	turquoise
SLC12A8	grey
ZNF630	pink
BTBD19	blue
FAM185A	darkred
CYTOR	blue
RNU2-63P	blue
LINC00630	turquoise
ZNF844	turquoise
ENSG00000223552	darkmagenta
ENSG00000223561	turquoise
HBD	brown
ENSG00000223725	blue
CCDC18-AS1	turquoise
CD99P1	salmon
HLA-DPB1	blue
LINC02471	pink
EPB41L4A-AS1	turquoise
HAGLR	pink
SMIM25	brown
ENSG00000224479	turquoise
ENSG00000224505	blue
ZMIZ1-AS1	turquoise
RTCA-AS1	turquoise
LAMTOR5-AS1	turquoise
TMEM72-AS1	yellow
BTF3P9	cyan
ENSG00000224875	grey60
NDUFAF8	darkgreen
ENSG00000224905	magenta
ST13P6	darkturquoise
ZNRF2P2	turquoise
ENSG00000225315	blue
LHFPL3-AS2	red
ENSG00000225339	turquoise
FGD5-AS1	lightsteelblue1
ERCC6	turquoise
LINC00623	lightgreen
FTCDNL1	brown
GTF2H2B	brown
PSPHP1	tan
ZNF192P1	skyblue
FTLP3	blue
ENTPD1-AS1	turquoise
LENG8-AS1	blue
HSBP1L1	blue
PSMD5-AS1	turquoise
ENSG00000226822	brown
DANCR	brown
ENSG00000227070	blue
LMCD1-AS1	floralwhite
ZNF717	blue
PARG	turquoise
HNRNPKP2	darkgreen
ENSG00000227486	salmon
LINC01483	grey60
SPAG5-AS1	saddlebrown
ENSG00000227598	skyblue
ENSG00000227671	blue
ENSG00000227775	orangered4
ENSG00000227803	darkgrey
LINC01515	turquoise
ST13P19	darkturquoise
ENSG00000228113	grey
GUSBP11	turquoise
ENSG00000228395	magenta
ENSG00000228427	black
ENSG00000228436	lightcyan1
LINC01125	mediumpurple3
LINC01344	turquoise
VIM-AS1	blue
ENSG00000229127	turquoise
CCDC26	blue
ENSG00000229180	blue
PATL2	saddlebrown
ENSG00000229656	ivory
ENSG00000229852	turquoise
ENSG00000229862	greenyellow
MIR181A1HG	blue
ENSG00000230424	midnightblue
ENSG00000230490	turquoise
PPP5D1	cyan
LINC00486	turquoise
ENSG00000231236	black
ENSG00000231246	purple
ENSG00000231365	turquoise
LINC-PINT	green
TSPAN19	turquoise
ENSG00000231772	red
ENSG00000231969	turquoise
MCTS1	brown
FTLP8	blue
KANTR	turquoise
TNF	blue
ENSG00000232828	yellowgreen
ENSG00000232855	turquoise
LINC00342	turquoise
MIR3936HG	turquoise
LINC01725	grey
SNHG7	darkolivegreen
LINC00884	darkolivegreen
CCDC144NL-AS1	turquoise
ENSG00000233184	blue
PFN1P1	lightsteelblue1
GTF2IP4	turquoise
STXBP5-AS1	turquoise
TWIST2	yellow
LINC01237	brown
TTTY15	turquoise
ENSG00000233895	darkred
ENSG00000234062	turquoise
LANCL1-AS1	red
ENSG00000234290	blue
ENSG00000234350	cyan
ZNF37BP	yellow
ZNF736	lightcyan
ENSG00000234500	steelblue
PTGES3P1	brown
CCT6P3	turquoise
LINC01934	brown
LINC01239	white
MIR155HG	blue
C12orf75	turquoise
MSC-AS1	turquoise
NFAM1	blue
KIAA0040	darkolivegreen
LINC00607	skyblue3
BHLHE40-AS1	midnightblue
ZNF815P	lightsteelblue1
TTC28-AS1	white
ENSG00000235978	blue
ASMTL-AS1	orange
MYO16-AS1	pink
DIAPH2-AS1	black
ZBED5	blue
ENSG00000236325	violet
ENSG00000236432	turquoise
LINC00299	brown
ENSG00000236886	turquoise
NDUFA6-AS1	greenyellow
LINC01358	black
ENSG00000237422	darkmagenta
ENSG00000237461	greenyellow
ENSG00000237499	darkmagenta
ENSG00000237513	blue
ENSG00000237596	brown
FAM200B	brown
ENSG00000237813	pink
ENSG00000237821	darkturquoise
PRKCQ-AS1	darkorange
LINC02257	turquoise
ENSG00000238045	turquoise
LRRC37A2	tan
MAP3K20-AS1	orangered4
ENSG00000238287	brown
NCK1-AS1	blue
ENSG00000239268	brown
ENSG00000239498	turquoise
GATS	salmon
KMT2E-AS1	salmon
PSMD6-AS2	pink
PARGP1	brown
PSMB9	blue
COX19	magenta
PPIL3	blue
AQP1	red
PNMA2	turquoise
LINC00886	turquoise
ENSG00000240963	lightyellow
LINC00877	blue
ENSG00000241288	turquoise
SUCLG2-AS1	lightgreen
SYNPR-AS1	turquoise
HNF1A-AS1	turquoise
PSMC1P1	turquoise
ENSG00000242104	turquoise
ENSG00000242622	paleturquoise
ENSG00000242687	mediumpurple3
LINC00882	turquoise
PTMAP8	greenyellow
ENSG00000243144	orange
MICAL3	black
ENSG00000243305	turquoise
C7orf73	yellow
IL10RB	blue
HLA-L	brown
GSTA1	turquoise
IL12A-AS1	blue
ENSG00000244055	darkred
GSTA2	turquoise
OR2A1-AS1	turquoise
LILRA6	blue
CCDC13	turquoise
MIATNB	ivory
HBB	brown
N4BP2L2	turquoise
ENSG00000245293	turquoise
DRAIC	turquoise
RAD51-AS1	turquoise
RAB30-AS1	turquoise
LINC02325	royalblue
ENSG00000246090	turquoise
ENSG00000246203	blue
ENSG00000246596	grey
LINC00535	greenyellow
H2AFJ	turquoise
PGAM5	turquoise
BAALC-AS1	orangered4
ENSG00000247134	blue
ENSG00000247137	white
ENSG00000247199	grey
ENSG00000247287	turquoise
ENSG00000247498	red
CKMT2-AS1	red
STX18-AS1	magenta
ENSG00000247925	blue
DPH6-AS1	turquoise
RRN3P1	royalblue
ENSG00000248242	greenyellow
LUCAT1	blue
PCP4L1	floralwhite
RBM14-RBM4	darkgrey
ENSG00000249072	greenyellow
ENSG00000249240	blue
UGDH-AS1	turquoise
ENSG00000249364	pink
NAIP	darkturquoise
ENSG00000249456	darkgreen
LINC01091	turquoise
ENSG00000249592	saddlebrown
LINC02147	turquoise
ENSG00000249806	brown
ENSG00000249870	blue
RNF103-CHMP3	brown
MCPH1-AS1	skyblue3
ENSG00000250131	brown
ENSG00000250195	darkred
ENSG00000250220	turquoise
ENSG00000250303	turquoise
KIAA1456	turquoise
ENSG00000250326	turquoise
ENSG00000250746	blue
ENSG00000250771	blue
ENSG00000250917	skyblue
LINC01950	blue
MIR3945HG	blue
ENSG00000251634	darkturquoise
ENSG00000253210	blue
AZIN1-AS1	turquoise
ENSG00000253379	turquoise
ENSG00000253535	blue
OTUD6B-AS1	darkorange
UTP14C	grey
ENSG00000253821	brown
ENSG00000253944	turquoise
ENSG00000254035	lightcyan
ENSG00000254281	blue
ENSG00000254286	skyblue
ENSG00000254332	blue
ENSG00000254409	red
ENSG00000254612	darkgreen
WAC-AS1	blue
ENSG00000254692	blue
ENSG00000254733	turquoise
ENSG00000254757	turquoise
